Tm,Player,Pos,G,GS,MP,FG,FGA,FGPercent,3P,3PA,2P,2PA,2PPercent,eFGPercent,FT,FTA,FTPercent,ORB,DRB,TRB,AST,STL,BLK,PTS,TOV,PF
LAL,VanderBlue,SG,-1.723710983,-0.775085867,1.9101919,0.802112975,1.969910477,-1.225482275,0.561311395,1.79080006,0.68969858,1.480186847,-1.002695012,-1.336201902,-0.253165222,0.478229051,-1.43444797,0.182396422,0.601187953,0.492866107,1.229800722,2.019575512,-0.837274886,0.601489946,2.403245672,0.425587104
BRK,BojanBogdanovic,SF,1.256312939,0.26608221,0.464297476,0.189350745,0.16617041,0.261533758,0.866203943,0.818194462,-0.055852459,-0.20958865,0.669470918,0.585570179,-0.171575836,-0.241829451,0.612381046,-0.319675758,-0.240863223,-0.278628021,-0.514426446,-0.543277623,-0.60243389,0.225847242,-0.173356654,-0.527903767
GSW,AndrewBogut,C,0.824993687,1.692868093,0.442389985,0.036160188,-0.33223145,1.330630252,-0.963151343,-1.069804639,0.40294818,0.134094502,0.965102464,0.884941709,-0.824290925,-0.765508362,-0.831581467,1.563094916,2.104850768,2.035854361,0.498350619,-0.077304326,3.155022038,-0.281270409,0.599624044,1.515290956
SAS,MattBonner,PF,1.021047892,-0.080973816,-0.718707052,-0.831919638,-0.830633311,-0.16610484,-0.0484737,-0.039986947,-0.916103657,-0.982875742,0.032015398,0.363455818,-0.742701539,-0.830968226,0.56376278,-0.570711848,-0.782181837,-0.750096654,-0.626957231,-1.242237569,-0.367592895,-0.769605924,-1.203997585,-1.072755694
UTA,TrevorBooker,PF,1.29552378,-0.620838745,0.026147651,-0.014903331,-0.189830919,0.591981765,-0.353366248,-0.440471605,0.116197781,-0.009106812,0.549370603,0.450370133,-0.171575836,0.085469868,-0.554457348,1.186540781,0.480894928,0.707170031,-0.401895661,-0.310290974,0.336930092,-0.112231192,-0.044526538,0.153161141
LAL,CarlosBoozer,PF,0.981837051,0.188958649,0.464297476,1.159557609,0.90190649,0.708610473,-0.963151343,-1.069804639,1.664649937,1.623388161,0.373839373,0.266884357,-0.008397064,0.216389596,-0.330813323,0.935504691,1.623678667,1.478664158,-0.289364876,-0.077304326,-0.367592895,0.751747027,0.213133695,1.242864993
MIA,ChrisBosh,C,-0.076855658,0.8830707,1.734931969,2.487209107,2.420845494,0.329567171,1.17109649,1.104254932,2.352850896,2.36803499,0.244500571,0.305512941,2.276105744,2.31110524,0.374151541,0.182396422,2.104850768,1.564385728,0.217023657,0.62165562,0.571771087,2.498485601,1.372604742,-0.119264823
BOS,AveryBradley,SG,1.217102097,2.155609461,1.30773589,1.363811686,1.518975461,0.028276341,1.475989038,1.561951684,0.976448979,1.07922317,0.105923284,0.179970041,-0.253165222,-0.307289315,0.46166442,-0.319675758,-0.000277173,-0.107184881,-0.008037913,1.087628917,-0.367592895,1.146171867,0.341963811,0.834226049
ATL,EltonBrand,PF,-0.390542386,-0.659400525,-0.663938324,-0.882983157,-0.973033842,0.154624108,-0.963151343,-1.069804639,-0.629353257,-0.63919259,-0.106561889,-0.283572973,-0.824290925,-0.765508362,-0.84130512,-0.068639668,-0.301009736,-0.235767236,-0.683222623,-0.310290974,0.806612083,-0.957427276,-0.817507236,-0.255477804
TOT,CoreyBrewer,SF,1.334734621,-0.158097377,0.716233626,0.699985937,0.806972803,-0.000880836,0.256418848,0.589346086,0.68969858,0.64961923,0.299931486,-0.061458612,0.644318024,0.674608643,0.233158568,0.182396422,0.120015852,0.149979828,0.217023657,1.786588863,-0.367592895,0.695400622,0.599624044,0.698013067
