Rank,Newsweek Green Score,GICS Sector,Energy Productivity,Carbon Productivity,Water Productivity,Waste Productivity,Green Revenue,!Rank,!Newsweek Green Score,!GICS Sector,!Energy Productivity,!Carbon Productivity,!Water Productivity,!Waste Productivity,!Green Revenue
309,0.24,Health Care,0,0,0,0,0.14,,,,,,,,
340,0.19,Health Care,0,0,0,0,0.14,,,,,,,,
340,0.19,Health Care,0,0,0,0,0.19,,,,,,,,
394,0.14,Health Care,0,0,0,0,0.14,,,,,,,,
394,0.14,Health Care,0,0,0,0,0.14,,,,,,,,
394,0.14,Health Care,0,0,0,0,0.14,,,,,,,,
414,0.12,Health Care,0,0,0,0,0.12,,,,,,,,
339,0.19,Health Care,0,0,0,0,0.19,,,,,,,,
115,0.52,Health Care,0.04,0.11,0,0.08,0.14,,,,,,,,
158,0.44,Health Care,0.09,0.05,0,0,0.15,,,,,,,,
164,0.43,Health Care,0,0.04,0.11,0.06,0.17,,,,,,,,
332,0.21,Health Care,0,0.06,0,0,0.15,,,,,,,,
2,0.84,Health Care,0.12,0.13,0.12,0.13,0.14,,,,,,,,
17,0.73,Health Care,0.11,0.12,0.11,0.06,0.13,,,,,,,,
33,0.66,Health Care,0.1,0.06,0.1,0.06,0.14,,,,,,,,
86,0.56,Health Care,0.02,0.04,0.06,0.1,0.14,,,,,,,,
98,0.54,Health Care,0.02,0.06,0.08,0.06,0.14,,,,,,,,
118,0.52,Health Care,0.04,0.06,0.03,0.04,0.14,,,,,,,,
139,0.49,Health Care,0.12,0.03,0,0,0.14,,,,,,,,
175,0.41,Health Care,0.04,0.03,0.02,0.03,0.14,,,,,,,,
248,0.33,Health Care,0.08,0.01,0,0,0.14,,,,,,,,
302,0.25,Health Care,0,0.01,0,0,0.14,,,,,,,,
340,0.19,Health Care,0,0,0,0,0.14,,,,,,,,
393,0.14,Health Care,0,0,0,0,0.14,,,,,,,,
23,0.69,Industrials,0.07,0.11,0.12,0.1,0.09,,,,,,,,
56,0.61,Industrials,0.08,0.09,0.06,0.13,0.05,,,,,,,,
73,0.58,Industrials,0.09,0.09,0.08,0.07,0.05,,,,,,,,
166,0.43,Industrials,0,0.03,0.05,0.03,0.12,,,,,,,,
167,0.43,Industrials,0.1,0.06,0,0,0.07,,,,,,,,
203,0.39,Industrials,0.02,0.02,0.02,0.11,0.07,,,,,,,,
220,0.37,Industrials,0.04,0.01,0,0,0.12,,,,,,,,
290,0.27,Industrials,0,0.04,0,0,0.13,,,,,,,,
402,0.13,Industrials,0,0,0,0,0.13,,,,,,,,
402,0.13,Industrials,0,0,0,0,0.13,,,,,,,,
467,0.07,Industrials,0,0,0,0,0.02,,,,,,,,
490,0.05,Industrials,0,0,0,0,0.05,,,,,,,,
97,0.55,Industrials,0.03,0.04,0.05,0.15,0.13,,,,,,,,
154,0.45,Industrials,0.01,0.03,0,0.08,0.13,,,,,,,,
315,0.23,Industrials,0,0.1,0,0,0.08,,,,,,,,
74,0.58,Industrials,0.04,0.06,0.08,0.09,0.1,,,,,,,,
90,0.55,Industrials,0.09,0.1,0.03,0.04,0.1,,,,,,,,
215,0.38,Industrials,0.03,0.04,0.11,0,0.1,,,,,,,,
271,0.3,Industrials,0.01,0.03,0,0,0.1,,,,,,,,
45,0.63,Industrials,0.1,0.12,0.12,0.02,0.12,,,,,,,,
66,0.58,Industrials,0,0.08,0.1,0.1,0.16,,,,,,,,
217,0.37,Industrials,0,0.02,0,0,0.15,,,,,,,,
276,0.29,Industrials,0,0.01,0,0,0.13,,,,,,,,
326,0.21,Industrials,0,0,0,0,0.16,,,,,,,,
402,0.13,Industrials,0,0,0,0,0.13,,,,,,,,
104,0.54,Industrials,0.11,0.14,0,0.12,0.12,,,,,,,,
58,0.6,Industrials,0,0.08,0.12,0.09,0.12,,,,,,,,
67,0.58,Industrials,0.08,0.09,0.09,0.01,0.12,,,,,,,,
319,0.22,Industrials,0,0.04,0,0,0.13,,,,,,,,
401,0.13,Industrials,0,0,0,0,0.13,,,,,,,,
62,0.59,Industrials,0.08,0.07,0.07,0.07,0.11,,,,,,,,
170,0.42,Industrials,0.03,0.03,0.03,0.02,0.11,,,,,,,,
399,0.14,Industrials,0,0,0,0,0.14,,,,,,,,
